Time Logged,Source,Name,Quality,Price,Amount
5/17/2023 8:21:35,Plowshare Produce,Asparagus,Firsts,153,34 Pounds
5/17/2023 8:23:07,Plowshare Produce,Rhubarb,Firsts,12,10 Pounds
5/17/2023 8:23:51,Plowshare Produce,Radishes,Firsts,12,4.3 Pounds
5/17/2023 8:24:37,Plowshare Produce,Potatoes,Firsts,50,40 Pounds
5/17/2023 8:27:46,Plowshare Produce,Carrots,Seconds,10,0 Bulk
5/17/2023 8:28:39,Plowshare Produce,Parsnips,Seconds,10,0 Bulk
5/17/2023 8:29:27,Plowshare Produce,Beets/Turnips/Celeriac,Seconds,0,0 Bulk
5/26/2023 19:08:21,Plowshare Produce,asparagus,Seconds,0,21.1 lbs
5/26/2023 19:17:33,Plowshare Produce,scallion,Firsts,0,0.55 lbs
5/26/2023 19:18:56,Plowshare Produce,rhubarb,Firsts,0,10.2 lbs
5/26/2023 19:21:59,Plowshare Produce,spinach,Firsts,0,2.05 lbs
5/26/2023 19:26:33,Plowshare Produce,lettuce mix,Firsts,0,2.05 lbs
5/26/2023 19:29:45,Plowshare Produce,radishes,Firsts,0,6.7 lbs
5/26/2023 19:31:32,Plowshare Produce,radishes,Seconds,0,3.05 lbs
6/14/2023 16:34:08,Plowshare Produce,carrots,Seconds,0,21.55 lbs
6/14/2023 16:35:30,Plowshare Produce,carrots (additional to the 21.55 lbs),Seconds,0,9.9 lbs
6/14/2023 16:38:14,Oliver's Path,swiss chard,Firsts,0,6.3 lbs
6/14/2023 16:39:33,Plowshare Produce,bib lettuce,Firsts,0,9.95 lbs
6/14/2023 16:41:55,Trader Joe's,mushrooms (better condition),Seconds,0,11.05 lbs
6/14/2023 16:42:53,Trader Joe's,mushrooms (worse condition),Seconds,0,3.85 lbs
6/14/2023 16:43:40,Trader Joe's,cilantro,Seconds,0,0.6 lbs
6/14/2023 16:45:23,Plowshare Produce,bok choy,Seconds,0,4.25 lbs
6/14/2023 16:46:28,Plowshare Produce,garlic scapes,Seconds,0,1.1 lbs
6/14/2023 16:47:27,Plowshare Produce,rhubarb,Seconds,0,5.35 lbs
6/14/2023 16:48:20,Plowshare Produce,lettuce mix,Seconds,0,6.25 lbs
6/14/2023 16:49:13,Plowshare Produce,spinach,Seconds,0,1 lbs
6/14/2023 16:50:02,Plowshare Produce,kale,Seconds,0,8.15 lbs
